rate,property_type,area,bedRoom,bathroom,balcony,noOfFloor,facing,sector,society_name,Price,Study_room,Servant_room,Pooja_room,Other,age,feature_score,furnish_score
24214,house,1623.03,19,17,3,4,North-West,Sector 17A,,3.93,1,1,1,0,Relatively New,16,0.0
26613,house,1503.02,4,4,3+,2,,Sector 56,,4.0,0,0,0,0,Relatively New,5,30.5
138888,house,54.0,2,1,No,1,,Kheri,,0.75,0,0,0,0,Old,0,0.0
10000,house,900.0,6,4,3,3,North-East,Madanpuri,,0.9,0,1,0,1,Old,6,17.5
7666,house,3587.27,7,7,3+,3,North-East,Dlf Phase,,2.75,0,0,0,1,Mid,0,38.0
7407,house,675.04,5,4,3,3,South-West,Sohna Road,prem kunj,0.5,0,0,1,0,Relatively New,5,0.0
8333,house,600.02,3,3,2,2,East,Dayanand Colony,,0.5,0,0,1,0,Mid,0,0.0
4666,house,900.13,2,2,1,1,,Mohan Nagar,,0.42,0,0,0,0,Relatively New,0,0.0
13333,house,450.01,3,3,No,3,,Rajendra Park,,0.6,0,0,0,0,undefined,0,0.0
60000,house,80.0,2,2,No,02,South-East,Daulatabad,secter,0.48,0,0,0,0,Relatively New,3,0.0
11111,house,450.0,5,3,3,3,,Ashok Vihar Phase,,0.5,0,0,0,0,Mid,0,0.0
7778,house,449.99,2,2,1,2,East,Vishnu Garden,,0.35,0,0,0,0,undefined,0,0.0
40775,house,980.99,4,3,2,2,,Dlf Phase,dlf city plots,4.0,0,0,0,0,Relatively New,0,36.5
99173,house,242.0,8,4,2,2,,New Basti,,2.4,0,0,0,0,Old,4,0.0
12222,house,1800.03,4,3,2,1,South,Shivaji Nagar,not applicable,2.2,1,0,1,0,Old,5,0.0
6172,house,1782.24,8,8,No,1,,Manesar,,1.1,0,0,0,0,Newly House,0,0.0
22222,house,3600.04,4,5,3+,1,North-East,New Colony,,8.0,1,1,1,0,Old,6,53.5
9111,house,900.01,4,3,3,2,North,Sector 8,,0.82,0,0,0,0,Mid,2,10.5
80357,house,112.0,3,3,No,2,,Ashok Vihar,,0.9,0,0,0,0,undefined,0,0.5
4117,house,1700.27,4,4,1,2,,Maruti Kunj,,0.7,0,0,0,0,Mid,0,0.0
7308,house,1299.95,5,3,No,1,,Laxmi Garden,,0.95,0,0,0,0,undefined,0,0.5
8701,house,1494.08,4,4,2,1,East,Mohan Nagar,,1.3,0,0,0,0,Old,0,0.0
8000,house,450.0,1,1,No,1,,Sector 9B,,0.36,0,0,0,0,undefined,0,0.5
25926,house,1350.0,6,6,3,3,,Saraswati Vihar,housing board colony,3.5,0,0,0,0,Relatively New,0,0.0
6666,house,1200.12,8,8,2,1,,Imt Manesar,,0.8,0,0,0,0,Relatively New,0,0.0
2296,house,675.09,2,1,No,1,,Bhora Kalan,,0.155,0,0,0,0,Old,0,0.0
8888,house,900.09,9,5,3+,3,,Near Nand Hospital,rajendra park sec,0.8,0,0,0,0,Old,0,9.0
33333,house,1800.02,8,5,3+,3,,Dlf Phase,,6.0,0,0,0,0,Old,2,79.0
12444,house,2250.08,10,7,3,1,,Shivpuri,shivpuri,2.8,1,1,1,1,Old,0,44.5
9793,house,2808.13,4,4,3+,3,,Sector 92,ansal heights,2.75,1,0,1,0,Relatively New,0,0.0
6250,house,2800.0,4,4,No,14,,Sector 76,ninex city,1.75,0,0,0,0,undefined,0,0.5
8486,house,3653.08,5,5,3+,21,,Sector 72,spaze privy,3.1,0,0,0,0,Relatively New,0,0.5
11717,house,990.01,5,4,2,1,North-East,Jyoti Park,,1.16,0,0,0,0,undefined,0,0.5
7589,house,1120.04,3,2,2,1,,Sohna,signature global park,0.85,0,0,0,0,Under Construction,3,0.5
13333,house,675.02,4,4,No,2,,Subhash Nagar,,0.9,0,0,0,0,undefined,0,0.5
12592,house,270.01,2,2,2,3,West,New Palam Vihar,my home,0.34,0,0,0,0,Mid,4,8.0
15384,house,3250.13,6,6,2,1,South,Palam Vihar,,5.0,0,0,0,0,undefined,0,3.5
7843,house,459.01,2,2,1,1,North-East,Surat Nagar Phase,surat nagar phase,0.36,0,0,1,0,Mid,0,0.0
