area,property_type,bedRoom,bathroom,balcony,sector,Study_room,Servant_room,Pooja_room,Other,floor,age,feature_score,furnish_score,price
2951.333333333333,0.0,3,3,2.0,73.0,1,0,0,0,2.0,4.0,1.0,10.5,4.25
5000.0,0.0,4,4,2.0,91.0,0,1,1,1,1.0,3.0,2.0,1.0,1.25
6300.0,0.0,3,3,2.0,98.0,0,0,0,0,1.0,0.0,1.0,0.0,0.95
7777.0,0.0,3,2,1.0,49.0,0,0,0,0,1.0,1.0,1.0,17.5,1.05
14100.0,0.0,4,5,3.0,86.0,0,1,0,1,0.0,1.0,0.0,0.0,4.1
6983.0,0.0,2,2,1.0,106.0,0,0,0,0,1.0,4.0,1.0,0.0,0.5
5892.0,0.0,4,3,2.0,0.0,0,1,0,0,2.0,1.0,1.0,0.0,1.65
10158.0,0.0,3,3,2.0,84.0,0,1,0,1,1.0,1.0,2.0,0.0,1.6
13750.0,0.0,3,2,2.0,72.0,0,0,0,0,2.0,4.0,0.0,0.0,2.1
3648.0,0.0,4,4,2.0,0.0,0,0,0,0,2.0,0.0,1.0,0.0,0.9
7772.0,0.0,2,2,3.0,92.0,0,0,0,0,2.0,1.0,1.0,10.0,1.1
6739.0,0.0,2,2,3.0,112.0,0,0,0,0,0.0,4.0,2.0,0.0,0.92
5556.0,0.0,3,3,1.0,108.0,0,0,0,0,0.0,4.0,2.0,0.0,0.7
6325.0,0.0,3,4,1.0,83.0,0,0,0,0,0.0,4.0,1.0,0.0,0.99
6061.0,0.0,2,2,3.0,92.0,0,0,0,1,0.0,1.0,2.0,15.5,0.715
6429.0,0.0,2,2,2.0,2.0,0,0,0,0,2.0,1.0,2.0,0.0,0.875
6862.0,0.0,3,2,1.0,81.0,0,0,0,0,0.0,0.0,2.0,10.0,0.91
6377.0,0.0,3,4,3.0,96.0,0,0,0,0,2.0,4.0,1.0,0.0,1.25
10531.0,0.0,2,2,1.0,56.0,0,0,0,0,2.0,3.0,1.0,18.5,1.05
5038.0,0.0,2,2,3.0,44.0,0,0,0,0,0.0,3.0,1.0,0.0,0.66
13969.0,0.0,2,2,4.0,14.0,0,0,0,0,2.0,1.0,1.0,0.0,1.83
4800.0,0.0,2,2,1.0,83.0,0,0,0,1,2.0,4.0,1.0,0.0,0.5256000000000001
5797.0,0.0,2,2,2.0,45.0,0,0,0,0,1.0,3.0,2.0,14.5,0.8
